"Elevation1","Elevation2","Size1","Size2","Taxon","Overlap","relativeOV","ElevDiff"
"3101","3468",1.8544855271213,1.4587065875477,"L. orbiculata",0.758757442090908,29.7035367643645,367
"3101","3468",1.06707155369437,0.230228279456673,"H. umbellata",0.102665603675442,8.5938943604946,367
"3101","3468",8.98781132289201,0.301126489965472,"G. glomerata",0.233416545111964,2.57761577948429,367
"3101","3468",0.655159076016494,2.10632405689692,"P. bonplandianum",0.41040135617528,17.4558520352562,367
"3101","3468",3.77737573126835,0.322543821034569,"R. macrochaeta",0.248224111329663,6.44454150473906,367
"3101","3468",1.56850276271285,1.72123274222989,"V. floribundum",0.553318846576806,20.2205627160311,367
"3468","3715",1.4587065875477,7.86583341226696,"L. orbiculata",1.2067374696891,14.8653218061272,247
"3468","3715",0.230228279456673,2.42391510483179,"H. umbellata",0.177709707674487,7.17603339643923,247
"3468","3715",0.301126489965472,8.27129514724768,"G. glomerata",0.246778720594751,2.96408004842687,247
"3468","3715",2.10632405689692,2.14181350782826,"P. bonplandianum",0.439449532971989,11.5380815994453,247
"3468","3715",0.322543821034569,2.17986570317782,"R. macrochaeta",0.214914886862278,9.39520833636757,247
"3468","3715",1.72123274222989,5.50616684717605,"V. floribundum",0.836730294346655,13.0929994295518,247
"3101","3715",1.8544855271213,7.86583341226696,"L. orbiculata",1.32701490381662,15.8103995541279,614
"3101","3715",1.06707155369437,2.42391510483179,"H. umbellata",0.533980908035166,18.0581626514085,614
"3101","3715",8.98781132289201,8.27129514724768,"G. glomerata",3.43904127248307,24.8844070074735,614
"3101","3715",0.655159076016494,2.14181350782826,"P. bonplandianum",0.264375061403937,10.4388896799182,614
"3101","3715",3.77737573126835,2.17986570317782,"R. macrochaeta",0.404658645832179,7.28775528861927,614
"3101","3715",1.56850276271285,5.50616684717605,"V. floribundum",1.1852660118316,20.1253996622439,614
