"","area","dry_mass","height","ldmc","sla","thickness"
"scale(elevation)",0.966958558605393,0.871732204319122,0.518362828946206,0.0603728151208555,0.229816587959692,0.520251139173542
"taxon",2.31519161641208e-320,1.61250302871436e-296,2.1596967307945e-237,1.63409424159683e-157,2.43316013627529e-279,4.1618143387022e-317
"scale(elevation):taxon",5.24974716970959e-06,0.00122645044888404,0.00240595922307999,2.35854976417002e-09,5.12238641145133e-14,9.67812899358929e-05
